bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_semantic_terminal_names,connected_terminal_display_ids,connected_terminal_ids,diagram_id,display_name,display_terminal_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,implicit_anchor_terminal_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_implicit_reason,matched_net_index,matched_net_is_implicit_supply,merged_source_labels,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_from_05_implicit_reason,preferred_from_05_is_implicit_supply,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,semantic_confidence,semantic_direction,semantic_evidence_type,semantic_polarity,semantic_resolution_mode,semantic_role_family,semantic_slot,semantic_terminal_id,semantic_terminal_name,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,,,1,,,,,1024,1.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v9_2_set_successivo_analog_meter_connector_transformer\1.jpg,1024,,,,,,1,,,,,,,,,,13,,24,10,,24,,,diagram:1,Diagram,,,,,,,,,,,,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,,,
85.66,130.91,153.76,245.12,2,Battery,,,,0.8099,,,,1,,,,vertical,,,,,,,2.1,,,2.1,,,,,,,,,,,,,,2,,,,component:1:2.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
202.54,277.06,51.22,119.83,8,Fuse,,,,0.8989,,,,1,,,,horizontal,,,,,,,8.1,,,8.1,,,,,,,,,,,,,,2,,,,component:1:8.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
389.71,480.42,34.44,118.58,25,Switch,,,,0.8658,,,,1,,,,horizontal,,,,,,,25.1,,,25.1,,,,,,,,,,,,,,2,,,,component:1:25.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
502.72,576.85,663.65,771.96,30,Variable_Resistor,,,,0.8272,,,,1,,,,horizontal,,,,,,,30.1,,,30.1,,,,,,,,,,,,,,2,,,,component:1:30.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
556.85,583.08,959.54,1017.8,9,GND,,,,0.8156,,,,1,,,right,right,,,,,,,9.1,,,9.1,,,,,,,,,,,,,,1,,,,component:1:9.1,Component,,,,,,,,,,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
578.16,610.7,184.43,270.71,4,Capacitor,,,,0.6435,,,,1,,,,vertical,,,,,,,4.1,,,4.1,,,,,,,,,,,,,,2,,,,component:1:4.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
572.0,667.0,407.0,508.0,12,LED,,,,0.8604,,,,1,,,,vertical,,,,,,,12.1,,,12.1,,,,,,,,,,,,,,2,,,,component:1:12.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
712.62,737.86,567.63,623.24,9,GND,,,,0.7822,,,,1,,,right,right,,,,,,,9.2,,,9.2,,,,,,,,,,,,,,1,,,,component:1:9.2,Component,,,,,,,,,,,,,,,,,,,,,,,one_terminal,,,,,True,True,,
730.02,774.52,428.34,492.91,7,Diode,,,,0.8344,,,,1,,,,vertical,,,,,,,7.1,,,7.1,,,,,,,,,,,,,,2,,,,component:1:7.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
742.32,766.72,169.12,289.3,10,Inductor,,,,0.7532,,,,1,,,,vertical,,,,,,,10.1,,,10.1,,,,,,,,,,,,,,2,,,,component:1:10.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
736.06,805.36,667.11,731.13,22,Resistor,,,,0.8264,,,,1,,,,horizontal,,,,,,,22.1,,,22.1,,,,,,,,,,,,,,2,,,,component:1:22.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
919.08,973.48,208.87,315.21,13,Lamp,,,,0.9439,,,,1,,,,vertical,,,,,,,13.1,,,13.1,,,,,,,,,,,,,,2,,,,component:1:13.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
939.54,1023.14,433.34,588.09,0,Analog_Meter,,,,0.985,,,,1,,,,vertical,,,,,,,0.1,,,0.1,,,,,,,,,,,,,,2,,,,component:1:0.1,Component,,,,,,,,,,,,,,,,,,,,,,,two_terminal,,,,,True,True,,
,,,,,,2,Battery,component:1:2.1,,,,,1,positive,2.1:positive,,vertical,,,,,,,2.1,,False,2.1:positive,ok,0.0,matched_preferred,[],N1,,1,False,,,,,,,,,,terminal:1:2.1:t1,Terminal,,,False,N1,1,top,directional,directional_primary,"[102, 132, 115, 156]",0.2,,orientation_fallback,positive,battery_positive_from_long_plate,polarity,marker_side,2.1:positive,positive,108,150,,,,2.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,108.28,149.76
,,,,,,2,Battery,component:1:2.1,,,,,1,negative,2.1:negative,,vertical,,,,,,,2.1,,False,2.1:negative,ok,0.0,matched_preferred,[],N2,,2,False,,,,,,,,,,terminal:1:2.1:t2,Terminal,,,False,N2,2,bottom,directional,directional_primary,"[102, 244, 115, 268]",0.2,,orientation_fallback,negative,battery_positive_from_long_plate,polarity,other_side,2.1:negative,negative,108,249,,,,2.1:t2,t2,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.4999}",bbox_side_center,,,108.28,249.12
