bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_terminal_ids,diagram_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,instance_id,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_index,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,1,,,1024,1.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v5_various_two_terminals_components\1.jpg,1024,,,1,,,,,,,14,,28,11,,28,,,diagram:1,Diagram,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,,,
93.55,144.16,188.03,286.95,2,Battery,,,,0.8949,,1,,,,,,,2.1,,2.1,,,,,,,,,,,2,,,,component:1:2.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
232.79,311.65,61.13,142.5,8,Fuse,,,,0.9112,,1,,horizontal,,,,,8.1,,8.1,,,,,,,,,,,2,,,,component:1:8.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
354.29,414.49,260.75,384.18,15,Meter,,,,0.8906,,1,,vertical,,,,,15.1,,15.1,,,,,,,,,,,2,,,,component:1:15.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
442.7,534.16,43.89,134.07,25,Switch,,,,0.8181,,1,,horizontal,,,,,25.1,,25.1,,,,,,,,,,,2,,,,component:1:25.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
465.05,527.83,751.25,873.14,15,Meter,,,,0.9173,,1,,horizontal,,,,,15.2,,15.2,,,,,,,,,,,2,,,,component:1:15.2,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
630.2,694.32,228.2,386.25,30,Variable_Resistor,,,,0.9245,,1,,vertical,,,,,30.1,,30.1,,,,,,,,,,,2,,,,component:1:30.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
632.36,696.29,538.78,626.82,12,LED,,,,0.8179,,1,,vertical,,,,,12.1,,12.1,,,,,,,,,,,2,,,,component:1:12.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
672.55,767.55,750.54,872.17,17,Motor,,,,0.9567,,1,,horizontal,,,,,17.1,,17.1,,,,,,,,,,,2,,,,component:1:17.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
738.53,805.68,945.72,998.44,10,Inductor,,,,0.7713,,1,,horizontal,,,,,10.1,,10.1,,,,,,,,,,,2,,,,component:1:10.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
771.1,830.18,182.08,333.01,27,Thermistor,,,,0.8102,,1,,vertical,,,,,27.1,,27.1,,,,,,,,,,,2,,,,component:1:27.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
783.36,818.56,479.06,579.47,4,Capacitor,,,,0.6676,,1,,vertical,,,,,4.1,,4.1,,,,,,,,,,,2,,,,component:1:4.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
