bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_terminal_ids,diagram_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,instance_id,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_index,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,,,1024,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\pilot_batch_v1_a\1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e.jpg,1024,,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,,,,,,,16,,24,10,,24,,,diagram:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,Diagram,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,
106.2,133.31,756.23,789.36,26,Terminal,,,,0.7791,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,,right,,,,,26.1,,26.1,,,,,,,,,,,1,,,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:26.1,Component,,,,,,,,,,,,one_terminal,,,True,True,,
121.49,188.65,576.31,632.48,9,GND,,,,0.8258,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,top,up,,,,,9.1,,9.1,,,,,,,,,,,1,,,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:9.1,Component,,,,,,,,,,,,one_terminal,,,True,True,,
228.66,276.51,713.45,824.46,20,Polarized_Capacitor,,,,0.8384,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,,horizontal,,,,,20.1,,20.1,,,,,,,,,,,2,,,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:20.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
229.07,276.23,484.89,593.82,20,Polarized_Capacitor,,,,0.8557,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,,horizontal,,,,,20.2,,20.2,,,,,,,,,,,2,,,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:20.2,Component,,,,,,,,,,,,two_terminal,,,True,True,,
338.67,390.88,806.05,920.27,22,Resistor,,,,0.892,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,,vertical,,,,,22.1,,22.1,,,,,,,,,,,2,,,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
338.75,391.0,296.63,414.91,22,Resistor,,,,0.8798,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,,vertical,,,,,22.2,,22.2,,,,,,,,,,,2,,,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.2,Component,,,,,,,,,,,,two_terminal,,,True,True,,
331.92,398.48,937.16,997.5,9,GND,,,,0.8468,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,top,up,,,,,9.2,,9.2,,,,,,,,,,,1,,,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:9.2,Component,,,,,,,,,,,,one_terminal,,,True,True,,
454.81,573.11,470.58,612.52,18,NPN_Transistor,,,,0.9232,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,,,,,,,18.1,,18.1,,,,,,,,,,,0,,,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:18.1,Component,,,,,,,,,,,,multi_terminal,,,True,False,,
514.39,566.11,811.99,919.1,22,Resistor,,,,0.8938,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,,vertical,,,,,22.3,,22.3,,,,,,,,,,,2,,,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.3,Component,,,,,,,,,,,,two_terminal,,,True,True,,
514.04,567.54,243.93,358.57,22,Resistor,,,,0.8804,,1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e,,vertical,,,,,22.4,,22.4,,,,,,,,,,,2,,,,component:1084_png.rf.c6e7ca8cebbc72caed28bc220d23905e:22.4,Component,,,,,,,,,,,,two_terminal,,,True,True,,
